hour_route_key,weekday,date,count
03 4 N,true,2016-03-21,3
03 6 N,true,2016-03-21,3
03 4 S,true,2016-03-21,1
04 4 S,true,2016-03-21,5
04 6 S,true,2016-03-21,3
04 6 N,true,2016-03-21,3
04 4 N,true,2016-03-21,3
05 6 S,true,2016-03-21,5
05 4 S,true,2016-03-21,5
05 4 N,true,2016-03-21,5
05 6 N,true,2016-03-21,4
05 5 S,true,2016-03-21,2
06 5 S,true,2016-03-21,6
06 6 S,true,2016-03-21,9
06 4 S,true,2016-03-21,9
06 4 N,true,2016-03-21,3
06 5 N,true,2016-03-21,3
06 6 N,true,2016-03-21,6
07 5 S,true,2016-03-21,10
07 6 S,true,2016-03-21,14
07 4 N,true,2016-03-21,9
07 4 S,true,2016-03-21,11
07 5 N,true,2016-03-21,5
07 6 N,true,2016-03-21,11
08 5 S,true,2016-03-21,12
08 6 S,true,2016-03-21,20
08 4 S,true,2016-03-21,12
08 5 N,true,2016-03-21,9
08 4 N,true,2016-03-21,12
08 6 N,true,2016-03-21,17
09 5 S,true,2016-03-21,11
09 4 S,true,2016-03-21,12
09 6 S,true,2016-03-21,17
09 5 N,true,2016-03-21,13
09 4 N,true,2016-03-21,12
09 6 N,true,2016-03-21,19
10 5 S,true,2016-03-21,8
10 6 S,true,2016-03-21,15
10 4 S,true,2016-03-21,9
10 4 N,true,2016-03-21,9
10 5 N,true,2016-03-21,9
10 6 N,true,2016-03-21,15
11 6 S,true,2016-03-21,15
11 4 N,true,2016-03-21,10
11 4 S,true,2016-03-21,7
11 5 S,true,2016-03-21,7
11 5 N,true,2016-03-21,8
11 6 N,true,2016-03-21,17
12 5 N,true,2016-03-21,8
12 6 S,true,2016-03-21,15
12 4 S,true,2016-03-21,8
12 5 S,true,2016-03-21,7
12 4 N,true,2016-03-21,8
12 6 N,true,2016-03-21,15
13 5 S,true,2016-03-21,8
13 6 S,true,2016-03-21,12
13 5 N,true,2016-03-21,8
13 4 S,true,2016-03-21,7
13 4 N,true,2016-03-21,7
16 4 N,true,2016-03-21,11
13 6 N,true,2016-03-21,15
14 6 S,true,2016-03-21,16
14 4 S,true,2016-03-21,8
14 5 S,true,2016-03-21,7
14 4 N,true,2016-03-21,8
14 5 N,true,2016-03-21,8
14 6 N,true,2016-03-21,12
15 6 S,true,2016-03-21,14
15 5 S,true,2016-03-21,11
15 4 S,true,2016-03-21,9
15 5 N,true,2016-03-21,7
15 4 N,true,2016-03-21,8
15 6 N,true,2016-03-21,14
16 5 S,true,2016-03-21,13
16 6 S,true,2016-03-21,18
16 4 S,true,2016-03-21,11
16 5 N,true,2016-03-21,8
16 6 N,true,2016-03-21,14
17 6 S,true,2016-03-21,18
17 5 S,true,2016-03-21,7
17 4 S,true,2016-03-21,13
17 5 N,true,2016-03-21,13
17 4 N,true,2016-03-21,10
17 6 N,true,2016-03-21,22
18 5 N,true,2016-03-21,11
18 5 S,true,2016-03-21,6
18 6 S,true,2016-03-21,13
18 4 N,true,2016-03-21,10
18 4 S,true,2016-03-21,9
18 6 N,true,2016-03-21,12
19 5 S,true,2016-03-21,6
19 6 S,true,2016-03-21,13
19 4 S,true,2016-03-21,9
19 5 N,true,2016-03-21,7
19 4 N,true,2016-03-21,11
19 6 N,true,2016-03-21,17
20 5 S,true,2016-03-21,5
20 6 S,true,2016-03-21,9
20 5 N,true,2016-03-21,6
20 4 N,true,2016-03-21,9
20 4 S,true,2016-03-21,8
20 6 N,true,2016-03-21,10
21 5 S,true,2016-03-21,6
21 6 S,true,2016-03-21,9
21 4 N,true,2016-03-21,8
21 4 S,true,2016-03-21,6
21 5 N,true,2016-03-21,6
21 6 N,true,2016-03-21,10
22 5 S,true,2016-03-21,3
22 6 S,true,2016-03-21,8
22 4 S,true,2016-03-21,6
22 4 N,true,2016-03-21,6
22 5 N,true,2016-03-21,5
22 6 N,true,2016-03-21,8
23 6 S,true,2016-03-21,5
23 4 N,true,2016-03-21,6
23 5 N,true,2016-03-21,1
00 6 N,true,2016-03-22,3
00 6 S,true,2016-03-22,1
01 4 S,true,2016-03-22,2
01 4 N,true,2016-03-22,2
01 6 S,true,2016-03-22,3
01 6 N,true,2016-03-22,4
02 4 N,true,2016-03-22,3
02 4 S,true,2016-03-22,4
02 6 S,true,2016-03-22,3
02 6 N,true,2016-03-22,3
03 4 N,true,2016-03-22,3
03 4 S,true,2016-03-22,2
03 6 S,true,2016-03-22,3
03 6 N,true,2016-03-22,3
04 4 N,true,2016-03-22,3
04 4 S,true,2016-03-22,4
04 6 S,true,2016-03-22,4
04 6 N,true,2016-03-22,3
05 4 N,true,2016-03-22,5
05 4 S,true,2016-03-22,5
05 6 S,true,2016-03-22,5
05 6 N,true,2016-03-22,4
05 5 S,true,2016-03-22,2
06 5 S,true,2016-03-22,6
06 6 S,true,2016-03-22,9
06 4 S,true,2016-03-22,9
06 4 N,true,2016-03-22,5
06 5 N,true,2016-03-22,3
06 6 N,true,2016-03-22,7
07 5 S,true,2016-03-22,10
07 6 S,true,2016-03-22,16
07 4 N,true,2016-03-22,9
07 4 S,true,2016-03-22,11
07 5 N,true,2016-03-22,5
07 6 N,true,2016-03-22,11
08 5 S,true,2016-03-22,13
08 6 S,true,2016-03-22,16
08 4 S,true,2016-03-22,12
08 5 N,true,2016-03-22,10
08 4 N,true,2016-03-22,12
09 5 S,true,2016-03-22,10
09 4 S,true,2016-03-22,13
09 6 S,true,2016-03-22,17
08 6 N,true,2016-03-22,18
09 5 N,true,2016-03-22,11
09 4 N,true,2016-03-22,9
09 6 N,true,2016-03-22,15
10 5 N,true,2016-03-22,3
10 4 N,true,2016-03-22,12
10 5 S,true,2016-03-22,7
10 6 S,true,2016-03-22,16
10 4 S,true,2016-03-22,7
10 6 N,true,2016-03-22,16
11 6 S,true,2016-03-22,16
11 5 N,true,2016-03-22,8
11 4 S,true,2016-03-22,6
11 4 N,true,2016-03-22,10
11 5 S,true,2016-03-22,6
11 6 N,true,2016-03-22,15
12 5 S,true,2016-03-22,7
12 4 S,true,2016-03-22,8
12 6 S,true,2016-03-22,14
12 5 N,true,2016-03-22,7
12 4 N,true,2016-03-22,5
12 6 N,true,2016-03-22,16
13 5 S,true,2016-03-22,8
13 6 S,true,2016-03-22,15
13 4 N,true,2016-03-22,9
13 4 S,true,2016-03-22,7
13 5 N,true,2016-03-22,7
13 6 N,true,2016-03-22,14
16 4 N,true,2016-03-22,6
17 4 N,true,2016-03-22,12
14 5 S,true,2016-03-22,8
14 6 S,true,2016-03-22,15
14 4 S,true,2016-03-22,8
14 5 N,true,2016-03-22,7
14 4 N,true,2016-03-22,6
14 6 N,true,2016-03-22,14
15 6 S,true,2016-03-22,15
15 5 S,true,2016-03-22,10
15 5 N,true,2016-03-22,8
15 4 S,true,2016-03-22,8
15 4 N,true,2016-03-22,9
15 6 N,true,2016-03-22,15
16 5 S,true,2016-03-22,12
16 6 S,true,2016-03-22,17
16 4 S,true,2016-03-22,12
16 5 N,true,2016-03-22,7
16 6 N,true,2016-03-22,13
17 5 N,true,2016-03-22,9
17 6 S,true,2016-03-22,19
17 5 S,true,2016-03-22,8
17 4 S,true,2016-03-22,11
17 6 N,true,2016-03-22,20
18 6 S,true,2016-03-22,16
18 5 N,true,2016-03-22,12
18 4 N,true,2016-03-22,10
18 5 S,true,2016-03-22,6
18 4 S,true,2016-03-22,8
18 6 N,true,2016-03-22,18
19 6 S,true,2016-03-22,13
19 5 N,true,2016-03-22,9
19 5 S,true,2016-03-22,6
19 4 N,true,2016-03-22,11
19 4 S,true,2016-03-22,9
19 6 N,true,2016-03-22,15
20 5 S,true,2016-03-22,5
20 6 S,true,2016-03-22,11
20 5 N,true,2016-03-22,6
20 4 S,true,2016-03-22,8
20 4 N,true,2016-03-22,9
