route	trip	stop	timestamp	arrival	isValid	date
4	069550_4..S13X104	631S	1498924836	1498924812	true	2017-07-01
6	064550_6..S	631S	1498923711	1498923665	true	2017-07-01
6	067350_6..S01R	631S	1498925541	1498925496	true	2017-07-01
2	070050_2..S12X004	631S	1498923981	1498923952	true	2017-07-01
2	070300_2..N12X004	631N	1498926591	1498926465	true	2017-07-01
4	070050_4..N13X104	631N	1498927011	1498926995	true	2017-07-01
4	070350_4..S13X104	631S	1498925226	1498925194	true	2017-07-01
6	070150_6..S01R	631S	1498926561	1498926545	true	2017-07-01
4	067550_4..S13X104	631S	1498923336	1498923318	true	2017-07-01
4	070850_4..N13X104	631N	1498927326	1498927313	true	2017-07-01
2	071250_2..S12X004	631S	1498925016	1498924963	true	2017-07-01
4	071150_4..S13X104	631S	1498925676	1498925632	true	2017-07-01
6	070950_6..N01X009	631N	1498925106	1498925057	true	2017-07-01
6	070950_6..S01R	631S	1498927476	1498927437	true	2017-07-01
2	071500_2..N12X004	631N	1498927236	1498927190	true	2017-07-01
4	071650_4..N13X104	631N	1498928061	1498928009	true	2017-07-01
6	071750_6..S01R	631S	1498927596	1498927592	true	2017-07-01
4	068850_4..N13X104	631N	1498926261	1498926170	true	2017-07-01
4	071950_4..S13X104	631S	1498925931	1498925908	true	2017-07-01
2	072450_2..S12X004	631S	1498925346	1498925362	true	2017-07-01
2	072700_2..N12X004	631N	1498928016	1498927977	true	2017-07-01
4	072450_4..N13X104	631N	1498928511	1498928486	true	2017-07-01
4	072750_4..S13X104	631S	1498926201	1498926147	true	2017-07-01
6	072550_6..N01X009	631N	1498925961	1498925924	true	2017-07-01
6	072550_6..S01R	631S	1498928361	1498928325	true	2017-07-01
4	073250_4..N13X104	631N	1498928961	1498928958	true	2017-07-01
6	073350_6..N01X009	631N	1498926741	1498926601	true	2017-07-01
6	073350_6..S01R	631S	1498928601	1498928570	true	2017-07-01
2	073650_2..S12X004	631S	1498926051	1498926027	true	2017-07-01
4	073550_4..S13X104	631S	1498926816	1498926750	true	2017-07-01
2	073900_2..N12X004	631N	1498928511	1498928436	true	2017-07-01
4	074050_4..N13X104	631N	1498929576	1498929525	true	2017-07-01
6	074150_6..N01X009	631N	1498927206	1498927130	true	2017-07-01
6	074150_6..S01R	631S	1498928901	1498928894	true	2017-07-01
2	075100_2..N12X004	631N	1498929246	1498929212	true	2017-07-01
4	075150_4..S13X104	631S	1498927761	1498927713	true	2017-07-01
6	074950_6..N01X009	631N	1498927506	1498927463	true	2017-07-01
6	074950_6..S01R	631S	1498929516	1498929452	true	2017-07-01
4	075650_4..N13X104	631N	1498930776	1498930717	true	2017-07-01
6	075750_6..N01X009	631N	1498928196	1498928188	true	2017-07-01
6	075750_6..S01R	631S	1498929876	1498929862	true	2017-07-01
2	076050_2..S12X004	631S	1498927176	1498927143	true	2017-07-01
2	076300_2..N12X004	631N	1498930371	1498930324	true	2017-07-01
4	075950_4..S13X104	631S	1498928481	1498928444	true	2017-07-01
6	072950_6..N01X009	631N	1498926501	1498926384	true	2017-07-01
4	076450_4..N13X104	631N	1498931031	1498930998	true	2017-07-01
4	076750_4..S13X104	631S	1498928781	1498928765	true	2017-07-01
6	076550_6..N01X009	631N	1498928391	1498928345	true	2017-07-01
6	076550_6..S01R	631S	1498930746	1498930699	true	2017-07-01
2	077250_2..S12X004	631S	1498928136	1498928109	true	2017-07-01
4	077250_4..N13X104	631N	1498931346	1498931260	true	2017-07-01
6	077350_6..N01X009	631N	1498928811	1498928781	true	2017-07-01
2	077500_2..N12X004	631N	1498930851	1498930810	true	2017-07-01
4	077550_4..S13X104	631S	1498929246	1498929188	true	2017-07-01
4	078050_4..N13X104	631N	1498931841	1498931819	true	2017-07-01
4	078350_4..S13X104	631S	1498929666	1498929635	true	2017-07-01
6	078150_6..N01X009	631N	1498929711	1498929686	true	2017-07-01
2	078450_2..S12X004	631S	1498928901	1498928868	true	2017-07-01
2	078700_2..N12X004	631N	1498931346	1498931315	true	2017-07-01
4	078850_4..N13X104	631N	1498932156	1498932120	true	2017-07-01
6	075350_6..N01X009	631N	1498927911	1498927877	true	2017-07-01
4	079150_4..S13X104	631S	1498930056	1498930024	true	2017-07-01
6	078950_6..N01X009	631N	1498929816	1498929811	true	2017-07-01
6	078950_6..S01R	631S	1498932156	1498932132	true	2017-07-01
2	079650_2..S12X004	631S	1498929636	1498929607	true	2017-07-01
4	079650_4..N13X104	631N	1498932786	1498932717	true	2017-07-01
6	079750_6..N01X009	631N	1498930896	1498930881	true	2017-07-01
6	077750_6..S01R	631S	1498931271	1498931224	true	2017-07-01
2	079900_2..N12X004	631N	1498932246	1498932206	true	2017-07-01
2	080850_2..S12X004	631S	1498930416	1498930360	true	2017-07-01
4	080750_4..S13X104	631S	1498931031	1498930977	true	2017-07-01
6	080550_6..N01X009	631N	1498931151	1498931132	true	2017-07-01
6	080550_6..S01R	631S	1498932876	1498932822	true	2017-07-01
2	081100_2..N12X004	631N	1498932846	1498932804	true	2017-07-01
6	081350_6..N01X009	631N	1498931511	1498931431	true	2017-07-01
6	081350_6..S01R	631S	1498933491	1498933459	true	2017-07-01
2	082050_2..S12X004	631S	1498931091	1498931078	true	2017-07-01
2	082300_2..N12X004	631N	1498933641	1498933602	true	2017-07-01
